"x","country","n","codes"
"1","Afghanistan",8,"AFG"
"2","Albania",151,"ALB"
"3","Algeria",194,"DZA"
"4","Andorra",56,"AND"
"5","Angola",149,"AGO"
"6","Anguilla",11,"AIA"
"7","Antigua and Barbuda",99,"ATG"
"8","Argentina",442,"ARG"
"9","Armenia",77,"ARM"
"10","Aruba",50,"ABW"
"11","Australia",290,"AUS"
"12","Austria",453,"AUT"
"13","Azerbaijan",76,"AZE"
"14","Bahamas",11,"BHS"
"15","Bahrain",224,"BHR"
"16","Bangladesh",95,"BGD"
"17","Barbados",141,"BRB"
"18","Belarus",82,"BLR"
"20","Belgium",382,"BEL"
"21","Belize",15,"BLZ"
"22","Benin",99,"BEN"
"23","Bermuda",73,"BMU"
"24","Bhutan",14,"BTN"
"27","Bolivia",191,"BOL"
"28","Bosnia-Herzegovina",77,"BIH"
"29","Botswana",129,"BWA"
"30","Brazil",497,"BRA"
"31","British Guyana",29,"GUY"
"32","British Virgin Islands",29,"VGB"
"33","Brunei",8,"BRN"
"34","Bulgaria",256,"BGR"
"35","Burkina Faso",157,"BFA"
"36","Burma",78,"MMR"
"37","Burundi",41,"BDI"
"38","Cambodia",72,"KHM"
"39","Cameroon",160,"CMR"
"40","Canada",128,"CAN"
"41","Cape Verde",75,"CPV"
"42","Cayman Islands",52,"CYM"
"43","Central African Republic",29,"CAF"
"45","Chad",40,"TCD"
"46","Chile",400,"CHL"
"47","China",294,"CHN"
"48","Colombia",188,"COL"
"49","Comoros",13,"COM"
"50","Congo",161,"COG"
"51","Congo DR",76,"COD"
"52","Cook Islands",10,"COK"
"53","Costa Rica",266,"CRI"
"54","Croatia",118,"HRV"
"55","Cuba",73,"CUB"
"56","Curaçao",55,"CUW"
"57","Cyprus",260,"CYP"
"58","Czech Republic",111,"CZE"
"59","Czechoslovakia",194,"CZK"
"61","Denmark",362,"DNK"
"62","Djibouti",19,"DJI"
"63","Dominica",61,"DMA"
"64","Dominican Republic",46,"DOM"
"66","Ecuador",207,"ECU"
"67","Egypt",334,"EGY"
"69","El Salvador",179,"SLV"
"70","England",1432,"GBR"
"71","Equatorial Guinea",101,"GNQ"
"72","Eritrea",16,"ERI"
"73","Estonia",205,"EST"
"74","Ethiopia",257,"ETH"
"75","Faroe Islands",86,"FRO"
